epoch,costo,beta_0,beta_1
0,0.499986,-4.42439e-17,-0.0053726
100,0.499986,-4.46546e-17,-0.0053726
200,0.499986,-4.50654e-17,-0.0053726
300,0.499986,-4.54762e-17,-0.0053726
400,0.499986,-4.5887e-17,-0.0053726
500,0.499986,-4.62978e-17,-0.0053726
600,0.499986,-4.64457e-17,-0.0053726
700,0.499986,-4.65012e-17,-0.0053726
800,0.499986,-4.65567e-17,-0.0053726
900,0.499986,-4.66122e-17,-0.0053726
1000,0.499986,-4.66677e-17,-0.0053726
1100,0.499986,-4.67232e-17,-0.0053726
1200,0.499986,-4.67787e-17,-0.0053726
1300,0.499986,-4.68342e-17,-0.0053726
1400,0.499986,-4.68897e-17,-0.0053726
1500,0.499986,-4.69453e-17,-0.0053726
1600,0.499986,-4.70008e-17,-0.0053726
1700,0.499986,-4.70563e-17,-0.0053726
1800,0.499986,-4.71118e-17,-0.0053726
1900,0.499986,-4.71673e-17,-0.0053726
2000,0.499986,-4.72228e-17,-0.0053726
2100,0.499986,-4.72783e-17,-0.0053726
2200,0.499986,-4.73338e-17,-0.0053726
2300,0.499986,-4.73893e-17,-0.0053726
2400,0.499986,-4.74449e-17,-0.0053726
2500,0.499986,-4.75004e-17,-0.0053726
2600,0.499986,-4.75559e-17,-0.0053726
2700,0.499986,-4.76114e-17,-0.0053726
2800,0.499986,-4.76669e-17,-0.0053726
2900,0.499986,-4.77224e-17,-0.0053726
3000,0.499986,-4.77779e-17,-0.0053726
3100,0.499986,-4.78334e-17,-0.0053726
3200,0.499986,-4.78889e-17,-0.0053726
3300,0.499986,-4.79445e-17,-0.0053726
3400,0.499986,-4.8e-17,-0.0053726
3500,0.499986,-4.80555e-17,-0.0053726
3600,0.499986,-4.8111e-17,-0.0053726
3700,0.499986,-4.81665e-17,-0.0053726
3800,0.499986,-4.8222e-17,-0.0053726
3900,0.499986,-4.82775e-17,-0.0053726
4000,0.499986,-4.8333e-17,-0.0053726
4100,0.499986,-4.83885e-17,-0.0053726
4200,0.499986,-4.84441e-17,-0.0053726
4300,0.499986,-4.84996e-17,-0.0053726
4400,0.499986,-4.85551e-17,-0.0053726
4500,0.499986,-4.86106e-17,-0.0053726
4600,0.499986,-4.86661e-17,-0.0053726
4700,0.499986,-4.87216e-17,-0.0053726
4800,0.499986,-4.87771e-17,-0.0053726
4900,0.499986,-4.88326e-17,-0.0053726
5000,0.499986,-4.88881e-17,-0.0053726
5100,0.499986,-4.89437e-17,-0.0053726
5200,0.499986,-4.89992e-17,-0.0053726
5300,0.499986,-4.90049e-17,-0.0053726
5400,0.499986,-4.90054e-17,-0.0053726
5500,0.499986,-4.90058e-17,-0.0053726
5600,0.499986,-4.90063e-17,-0.0053726
5700,0.499986,-4.90049e-17,-0.0053726
5800,0.499986,-4.90054e-17,-0.0053726
5900,0.499986,-4.90058e-17,-0.0053726
6000,0.499986,-4.90063e-17,-0.0053726
6100,0.499986,-4.90049e-17,-0.0053726
6200,0.499986,-4.90054e-17,-0.0053726
6300,0.499986,-4.90058e-17,-0.0053726
6400,0.499986,-4.90063e-17,-0.0053726
6500,0.499986,-4.90049e-17,-0.0053726
6600,0.499986,-4.90054e-17,-0.0053726
6700,0.499986,-4.90058e-17,-0.0053726
6800,0.499986,-4.90063e-17,-0.0053726
6900,0.499986,-4.90049e-17,-0.0053726
7000,0.499986,-4.90054e-17,-0.0053726
7100,0.499986,-4.90058e-17,-0.0053726
7200,0.499986,-4.90063e-17,-0.0053726
7300,0.499986,-4.90049e-17,-0.0053726
7400,0.499986,-4.90054e-17,-0.0053726
7500,0.499986,-4.90058e-17,-0.0053726
7600,0.499986,-4.90063e-17,-0.0053726
7700,0.499986,-4.90049e-17,-0.0053726
7800,0.499986,-4.90054e-17,-0.0053726
7900,0.499986,-4.90058e-17,-0.0053726
8000,0.499986,-4.90063e-17,-0.0053726
8100,0.499986,-4.90049e-17,-0.0053726
8200,0.499986,-4.90054e-17,-0.0053726
8300,0.499986,-4.90058e-17,-0.0053726
8400,0.499986,-4.90063e-17,-0.0053726
8500,0.499986,-4.90049e-17,-0.0053726
8600,0.499986,-4.90054e-17,-0.0053726
8700,0.499986,-4.90058e-17,-0.0053726
8800,0.499986,-4.90063e-17,-0.0053726
8900,0.499986,-4.90049e-17,-0.0053726
9000,0.499986,-4.90054e-17,-0.0053726
9100,0.499986,-4.90058e-17,-0.0053726
9200,0.499986,-4.90063e-17,-0.0053726
9300,0.499986,-4.90049e-17,-0.0053726
9400,0.499986,-4.90054e-17,-0.0053726
9500,0.499986,-4.90058e-17,-0.0053726
9600,0.499986,-4.90063e-17,-0.0053726
9700,0.499986,-4.90049e-17,-0.0053726
9800,0.499986,-4.90054e-17,-0.0053726
9900,0.499986,-4.90058e-17,-0.0053726
