x,y,y_pred
-0.3,3.1,-0.469795
1.9,5.8,3.1609
2,6.3,3.32593
2.3,8.4,3.82102
3.4,10.1,5.63637
4.1,12.5,6.79159
5.3,14.7,8.77197
7.7,17,12.7327
8.2,18.8,13.5579
8.6,20.1,14.218
10.1,23.6,16.6935
10.8,24.7,17.8487
12.6,26,20.8193
13,28.1,21.4794
14.2,30.5,23.4598
14.1,33.8,23.2947
15.9,35.3,26.2653
17.3,36.7,28.5757
17.3,38.7,28.5757
19.3,40.2,31.8764
19.4,43.9,32.0414
20.1,44.5,33.1966
22.1,46.4,36.4973
22.6,48.6,37.3224
23.7,50.7,39.1378
24.2,52.7,39.9629
25,55.4,41.2832
26,56.1,42.9335
28.5,58.5,47.0593
29.2,60.1,48.2145
29.5,63.5,48.7096
30.3,65.7,50.0298
32.1,67.9,53.0004
33.5,69.1,55.3108
34.8,70.1,57.4563
34.7,73.3,57.2912
35.8,74.8,59.1066
37.4,76.1,61.7471
38.7,78.3,63.8925
38,81.6,62.7373
40.2,82.2,66.368
40.8,85.1,67.3581
41,87.5,67.6882
42,89.4,69.3385
44,91.2,72.6391
44.5,92,73.4643
45.1,95.3,74.4545
47.9,97.8,79.0754
48.8,98,80.5607
48.4,101.2,79.9005
49.4,102,81.5508
51.4,105.1,84.8515
52.8,106.9,87.1619
52.8,109.7,87.1619
53,111.7,87.492
54.5,113.6,89.9675
56,114.4,92.4429
57.2,117.2,94.4233
58.7,119.7,96.8988
59.7,120.9,98.5491
59.5,123.3,98.219
60.2,124.5,99.3742
62.2,127.8,102.675
63.6,128.5,104.985
64,131.6,105.645
64.3,133.2,106.141
66.6,135,109.936
67.8,136.4,111.917
68.7,139.3,113.402
69.3,141.3,114.392
70.1,143.2,115.712
70.1,144.7,115.712
71.1,147.6,117.363
73.1,149.9,120.663
73.1,151.4,120.663
74.3,152.9,122.644
76.6,154,126.439
76.3,156.7,125.944
78.4,159.9,129.41
78.6,161.2,129.74
79.7,163.1,131.555
81.8,165.9,135.021
82.2,166.3,135.681
82.5,168,136.176
83.6,171.6,137.992
85.2,172.1,140.632
85.2,175.6,140.632
86.8,176,143.273
88.7,178.5,146.408
88,180.6,145.253
89.6,182.2,147.894
90.2,185,148.884
92.4,186.3,152.514
93,188,153.505
94,190.7,155.155
95.6,193.9,157.795
96.3,195.2,158.951
96.6,197.7,159.446
97.7,199.5,161.261
98.2,201.7,162.086
